ID,From,To,Net,Kind,Sheet,Gauge,Status,Notes
W235,QEN:C,U4:1_OE,MOTOR_OE_N,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W236,U4:1_OE,U4:4_OE,MOTOR_OE_N,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W237,U4:1_OE,U4:10_OE,MOTOR_OE_N,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W238,U4:1_OE,U4:13_OE,MOTOR_OE_N,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W239,X3:3V3_IN,U4:9_A3,3V3,logic,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W240,X3:3V3_IN,U4:12_A4,3V3,logic,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W241,U1:GPIO25,U4:2_A1,PWM_MR_R_3V3,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W242,U1:GPIO26,U4:5_A2,PWM_MR_L_3V3,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W243,U4:3_Y1,RSR1:1,MDR_RPWM_RAW,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W244,RSR1:2,MDR:RPWM,MDR_RPWM,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,IBT-2 실크 기준. 220Ω은 신호 댐핑 후보; 실제 파형·전압 확인.
W245,MDR:RPWM,RDR1:1,MDR_RPWM,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W246,RDR1:2,X5:0V,0V,return,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W247,U4:6_Y2,RSR2:1,MDR_LPWM_RAW,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W248,RSR2:2,MDR:LPWM,MDR_LPWM,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,IBT-2 실크 기준. 220Ω은 신호 댐핑 후보; 실제 파형·전압 확인.
W249,MDR:LPWM,RDR2:1,MDR_LPWM,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W250,RDR2:2,X5:0V,0V,return,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W251,U4:8_Y3,RSR3:1,MDR_REN_RAW,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W252,RSR3:2,MDR:R_EN,MDR_REN,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,IBT-2 실크 기준. 220Ω은 신호 댐핑 후보; 실제 파형·전압 확인.
W253,MDR:R_EN,RDR3:1,MDR_REN,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W254,RDR3:2,X5:0V,0V,return,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W255,U4:11_Y4,RSR4:1,MDR_LEN_RAW,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W256,RSR4:2,MDR:L_EN,MDR_LEN,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,IBT-2 실크 기준. 220Ω은 신호 댐핑 후보; 실제 파형·전압 확인.
W257,MDR:L_EN,RDR4:1,MDR_LEN,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W258,RDR4:2,X5:0V,0V,return,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W259,U4:2_A1,RIR1:1,PWM_MR_R_3V3,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W260,RIR1:2,X5:0V,0V,return,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W261,U4:5_A2,RIR2:1,PWM_MR_L_3V3,signal,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
W262,RIR2:2,X5:0V,0V,return,signal,신호 0.22 mm² 후보 / 실측 검증,conditional,
